銘柄コード,銘柄名,前日終値,前日始値,前日高値,前日安値,前日出来高,前日RSI14,前日BB上限,前日BBミドル,前日BB下限
3091,ブロンコビリー,2900,2740,2900,2675,197100,88.06,2750,2372,1994
7421,カッパ・クリエイト,1660,1590,1666,1581,186200,78.13,1612,1540,1467
3663,セルシス,1945,1964,1994,1913,182200,57.15,2022,1914,1806
9900,サガミチェーン,2161,2061,2165,2053,111800,87.66,2086,1819,1553
8163,サトレストランシステムズ,1438,1375,1444,1361,309200,88.1,1386,1290,1194
5834,ＳＢＩリーシングサービス,2883,2789,2964,2750,254200,65.15,2856,2722,2589
325A,ＴＥＮＴＩＡＬ,1626,1719,1727,1610,150800,60.8,1814,1525,1236
3989,シェアリングテクノロジー,1378,1363,1391,1308,273400,57.17,1468,1416,1365
2763,エフティグループ,1200,1156,1215,1156,50100,69.44,1187,1112,1037
9467,アルファポリス,1093,1054,1104,1052,107700,63.07,1075,1024,973
9932,杉本商事,1330,1278,1339,1250,151700,70.62,1320,1254,1188
4434,サーバーワークス,2258,2183,2315,2183,97700,67.5,2195,1974,1754
