銘柄コード,銘柄名,前日終値,前日始値,前日高値,前日安値,前日出来高,前日RSI14,前日BB上限,前日BBミドル,前日BB下限
6258,平田機工,,2985,2900,3005,2897,201800,53,3170,2916,2661
464A,ＱＰＳホールディングス,,1590,1560,1618,1540,1290000,41,1990,1653,1316
546A,ＭＩＲＡＩＮＩホールディングス,,2480,2407,2497,2400,399400,69,2408,2241,2074
5208,有沢製作所,,2557,2456,2573,2446,223200,54,2632,2478,2324
3036,アルコニックス,,2659,2650,2698,2645,159800,62,2663,2537,2411
4588,オンコリスバイオファーマ,,2741,2674,2773,2672,534100,57,2717,2533,2349
6363,酉島製作所,,2970,2881,2975,2873,217700,57,3024,2839,2654
6644,大崎電気工業,,1609,1555,1623,1555,519300,62,1567,1496,1426
6328,荏原実業,,2527,2480,2565,2473,162100,6147,2493,2402,2311
6779,日本電波工業,,2696,2587,2787,2587,967200,4332,3490,2860,2229
9308,乾汽船,,1971,1926,1990,1926,203700,8708,1998,1726,1453
287A,黒田グループ,,1125,1094,1128,1093,59100,6139,1126,1098,1070
5541,大平洋金属,,2493,2435,2510,2415,269300,6568,2480,2325,2169
7760,ＩＭＶ,,2500,2461,2573,2461,160900,5359,2695,2413,2130
6932,遠藤照明,,2679,2688,2700,2614,63700,715,2723,2507,2290
7409,ＡＥＲＯＥＤＧＥ,,1595,1564,1663,1564,211500,5042,1748,1540,1332
6648,かわでん,,1928,1928,1941,1878,116700,6114,1960,1790,1620
2354,安川情報システム,,1362,1280,1374,1220,1680000,6097,1620,1119,619
6298,ワイエイシイホールディングス,,1182,1178,1198,1171,148900,4538,1310,1194,1078
6616,トレックス・セミコンダクター,,1885,1839,1905,1836,104900,4341,2254,1920,1585
3168,ＭＥＲＦ,,1310,1280,1338,1280,80700,5375,1382,1266,1149
7320,ＳＯＬＶＶＹ,,1493,1500,1523,1480,62400,5369,1532,1471,1411
6862,ミナトホールディングス,,2240,2139,2271,2124,311800,5916,2224,1926,1629
6463,ＴＰＲ,,1493,1502,1513,1479,209100,6238,1514,1434,1354
6349,小森コーポレーション,,1870,1863,1888,1859,34400,7469,1897,1676,1456
6810,マクセル,,2456,2564,2578,2442,690900,6782,2395,2129,1862
6459,だいわ,,1775,1746,1795,1726,80700,6278,1770,1688,1605
9310,日本トランスシティ,,1364,1364,1375,1347,141100,6844,1409,1284,1159
7245,大同メタル工業,,1402,1409,1429,1390,614300,5276,1483,1352,1221
5702,大紀アルミニウム工業所,,1527,1530,1546,1516,265200,5095,1535,1484,1432
368A,北里,,1445,1459,1504,1445,213900,6644,1439,1374,1309
262A,インターメスティック,,1994,2010,2018,1946,179900,5545,2051,1901,1751
